TULCEA | 242286 | 1109 | 1650174 | 110973
MEHEDINTI | 284840 | 1450 | 2080258 | 75418
IALOMITA | 291863 | 1492 | 2107961 | 105758
CALARASI | 315613 | 1524 | 2163459 | 131511
TELEORMAN | 384276 | 1746 | 2440349 | 206012
GIURGIU | 275706 | 1694 | 2490176 | 172145
COVASNA | 228223 | 1731 | 2526275 | 139822
BRAILA | 352881 | 1693 | 2555247 | 112192
CARAS-SEVERIN | 325495 | 1842 | 2620132 | 258271
VRANCEA | 389921 | 1960 | 2763123 | 85736
SALAJ | 246810 | 2047 | 2974834 | 198294
VASLUI | 484866 | 2163 | 3055759 | 135200
GORJ | 364058 | 2261 | 3245037 | 138912
OLT | 446019 | 2310 | 3273501 | 191499
BUZAU | 475177 | 2470 | 3499396 | 202685
BOTOSANI | 454590 | 2650 | 3753533 | 215141
SATU MARE | 389982 | 2635 | 3867164 | 187249
HUNEDOARA | 466016 | 2949 | 4206935 | 346144
BISTRITA-NASAUD | 329326 | 3163 | 4541457 | 330125
VALCEA | 401181 | 3109 | 4680461 | 270077
DAMBOVITA | 526705 | 3188 | 4781200 | 285119
NEAMT | 575353 | 3194 | 4786337 | 218505
HARGHITA | 333175 | 3516 | 4926128 | 322262
GALATI | 629503 | 3244 | 5075170 | 413875
ALBA | 379486 | 3455 | 5254810 | 212363
BACAU | 745393 | 3808 | 5859162 | 436550
DOLJ | 697374 | 3834 | 6127831 | 558481
MARAMURES | 524848 | 4451 | 6317663 | 320120
ARAD | 473319 | 4246 | 6478854 | 487974
MURES | 595147 | 4178 | 6666675 | 741098
SUCEAVA | 747399 | 5408 | 7574358 | 533976
SIBIU | 465271 | 4465 | 7851846 | 1160137
ARGES | 643524 | 5260 | 8173485 | 606756
BIHOR | 618582 | 6032 | 9020581 | 608893
CONSTANTA | 769183 | 5882 | 9587528 | 663493
PRAHOVA | 804158 | 6347 | 10069166 | 1605100
BRASOV | 632650 | 5965 | 10764287 | 750444
IASI | 930179 | 6752 | 12094249 | 909282
ILFOV | 407505 | 5785 | 12650120 | 961277
TIMIS | 746550 | 7111 | 13688272 | 1249855
CLUJ | 725549 | 8662 | 17508065 | 1401895
BUCURESTI | 2102912 | 24126 | 62647571 | 4580879
